CFM,Color Temp,RGB (0-255),,,HEX RGB (00 - FF)
1931 CIE (2deg) or 1964 CIE (10deg),(Kelvin),R,G,B,RGB
2deg,21300,172,192,255,#acc0ff
10deg,21300,166,196,255,#a6c4ff
2deg,21400,172,192,255,#acc0ff
10deg,21400,166,195,255,#a6c3ff
2deg,21500,171,192,255,#abc0ff
10deg,21500,166,195,255,#a6c3ff
2deg,21600,171,192,255,#abc0ff
10deg,21600,166,195,255,#a6c3ff
2deg,21700,171,191,255,#abbfff
10deg,21700,166,195,255,#a6c3ff
2deg,21800,171,191,255,#abbfff
10deg,21800,166,195,255,#a6c3ff
2deg,21900,171,191,255,#abbfff
10deg,21900,166,195,255,#a6c3ff
2deg,22000,171,191,255,#abbfff
10deg,22000,166,195,255,#a6c3ff
2deg,22100,171,191,255,#abbfff
10deg,22100,165,195,255,#a5c3ff
2deg,22200,171,191,255,#abbfff
10deg,22200,165,195,255,#a5c3ff
2deg,22300,171,191,255,#abbfff
10deg,22300,165,195,255,#a5c3ff
2deg,22400,170,191,255,#aabfff
10deg,22400,165,195,255,#a5c3ff
2deg,22500,170,191,255,#aabfff
10deg,22500,165,195,255,#a5c3ff
2deg,22600,170,191,255,#aabfff
10deg,22600,165,195,255,#a5c3ff
2deg,22700,170,191,255,#aabfff
10deg,22700,165,194,255,#a5c2ff
2deg,22800,170,190,255,#aabeff
10deg,22800,165,194,255,#a5c2ff
2deg,22900,170,190,255,#aabeff
10deg,22900,165,194,255,#a5c2ff
2deg,23000,170,190,255,#aabeff
10deg,23000,164,194,255,#a4c2ff
2deg,23100,170,190,255,#aabeff
10deg,23100,164,194,255,#a4c2ff
2deg,23200,170,190,255,#aabeff
10deg,23200,164,194,255,#a4c2ff
2deg,23300,170,190,255,#aabeff
10deg,23300,164,194,255,#a4c2ff
2deg,23400,169,190,255,#a9beff
10deg,23400,164,194,255,#a4c2ff
2deg,23500,169,190,255,#a9beff
10deg,23500,164,194,255,#a4c2ff
2deg,23600,169,190,255,#a9beff
10deg,23600,164,194,255,#a4c2ff
2deg,23700,169,190,255,#a9beff
10deg,23700,164,194,255,#a4c2ff
2deg,23800,169,190,255,#a9beff
10deg,23800,164,194,255,#a4c2ff
2deg,23900,169,190,255,#a9beff
10deg,23900,164,194,255,#a4c2ff
2deg,24000,169,190,255,#a9beff
10deg,24000,163,194,255,#a3c2ff
2deg,24100,169,190,255,#a9beff
10deg,24100,163,194,255,#a3c2ff
2deg,24200,169,189,255,#a9bdff
10deg,24200,163,193,255,#a3c1ff
2deg,24300,169,189,255,#a9bdff
10deg,24300,163,193,255,#a3c1ff
2deg,24400,169,189,255,#a9bdff
10deg,24400,163,193,255,#a3c1ff
2deg,24500,168,189,255,#a8bdff
10deg,24500,163,193,255,#a3c1ff
2deg,24600,168,189,255,#a8bdff
10deg,24600,163,193,255,#a3c1ff
2deg,24700,168,189,255,#a8bdff
10deg,24700,163,193,255,#a3c1ff
2deg,24800,168,189,255,#a8bdff
10deg,24800,163,193,255,#a3c1ff
2deg,24900,168,189,255,#a8bdff
10deg,24900,163,193,255,#a3c1ff
2deg,25000,168,189,255,#a8bdff
10deg,25000,163,193,255,#a3c1ff
2deg,25100,168,189,255,#a8bdff
10deg,25100,162,193,255,#a2c1ff
2deg,25200,168,189,255,#a8bdff
10deg,25200,162,193,255,#a2c1ff
2deg,25300,168,189,255,#a8bdff
10deg,25300,162,193,255,#a2c1ff
2deg,25400,168,189,255,#a8bdff
